iter	RMSE
0	14.63309834
1	14.27103456
2	13.92300788
3	13.57231484
4	13.2538733
5	12.95641955
6	12.67920667
7	12.43697963
8	12.14700049
9	11.85711711
10	11.58350865
11	11.33794065
12	11.10235181
13	10.86508232
14	10.63816352
15	10.40764435
16	10.19581497
17	9.981151469
18	9.788109588
19	9.597060168
20	9.429985201
21	9.272378668
22	9.09350208
23	8.925495992
24	8.779368719
25	8.640042055
26	8.50375867
27	8.38184176
28	8.253131588
29	8.137121908
30	8.017189841
31	7.91440276
32	7.81578985
33	7.713774182
34	7.60717541
35	7.508684789
36	7.417469177
37	7.335199927
38	7.248500403
39	7.167931138
40	7.091469846
41	7.028849355
42	6.951755139
43	6.889800768
44	6.822552403
45	6.759628127
46	6.69685844
47	6.635813775
48	6.573420457
49	6.525607951
50	6.474172637
51	6.421628107
52	6.374621248
53	6.325070847
54	6.280848212
55	6.237406925
56	6.200437088
57	6.162261346
58	6.122936035
59	6.088855297
60	6.051984635
61	6.015336437
62	5.979430619
63	5.942420776
64	5.912211138
65	5.885164752
66	5.855467186
67	5.826759499
68	5.805873366
69	5.778962769
70	5.757056939
71	5.733039018
72	5.711115273
73	5.68903942
74	5.667891252
75	5.64759232
76	5.628989358
77	5.608966194
78	5.589001642
79	5.56982609
80	5.552793224
81	5.541158648
82	5.534042481
83	5.516204956
84	5.502277179
85	5.485546933
86	5.470165047
87	5.459305513
88	5.444956885
89	5.433856719
90	5.41963891
91	5.410445309
92	5.398527066
93	5.389053158
94	5.378840236
95	5.365362394
96	5.353908178
97	5.343025227
98	5.336705584
99	5.328483321
100	5.31962004
101	5.309514218
102	5.298216564
103	5.287449184
104	5.280544708
105	5.270096148
106	5.26157231
107	5.254867628
108	5.246429235
109	5.239654664
110	5.23071183
111	5.22373892
112	5.218262777
113	5.211821329
114	5.207112901
115	5.199606826
116	5.1921897
117	5.186742743
118	5.176259485
119	5.168727604
120	5.162121425
121	5.156738103
122	5.150106815
123	5.141463051
124	5.134999197
125	5.13008089
126	5.124125659
127	5.116743439
128	5.111836347
129	5.104905216
130	5.099241804
131	5.093348205
132	5.086207841
133	5.081288227
134	5.0770663
135	5.073021855
136	5.065987543
137	5.059065788
138	5.055939265
139	5.052343665
140	5.047266644
141	5.042158761
142	5.03673169
143	5.02947748
144	5.023361521
145	5.016423082
146	5.012198362
147	5.006270523
148	4.999435637
149	4.996490198
150	4.989848082
151	4.98523762
152	4.981445922
153	4.977483418
154	4.971960805
155	4.967708945
156	4.961269945
157	4.95665369
158	4.954305578
159	4.947721202
160	4.943665935
161	4.940007114
162	4.936476785
163	4.931616332
164	4.926138401
165	4.921792536
166	4.917776182
167	4.910853303
168	4.90542582
169	4.900440628
170	4.894564993
171	4.889589372
172	4.885377909
173	4.8847244
174	4.879303435
175	4.877125439
176	4.872008785
177	4.867127746
178	4.863917044
179	4.860546273
180	4.857097062
181	4.852194948
182	4.850777058
183	4.848188653
184	4.84592081
185	4.841227438
186	4.836734707
187	4.83405101
188	4.828840681
189	4.826259613
190	4.822952344
191	4.820047191
192	4.8157916
193	4.812984881
194	4.810466766
195	4.807723067
196	4.804421469
197	4.800067724
198	4.796113108
199	4.792639722
200	4.790961103
201	4.785862427
202	4.783170669
203	4.781065727
204	4.778272559
205	4.773471592
206	4.77088024
207	4.768123696
208	4.765619395
209	4.762744863
210	4.758880629
211	4.757061455
212	4.756869234
213	4.755434135
214	4.751290011
215	4.749316114
216	4.747296912
217	4.744661383
218	4.739810747
219	4.736826679
220	4.736390001
221	4.734976262
222	4.730736469
223	4.727131898
224	4.722175772
225	4.720416675
226	4.718375107
227	4.717242295
228	4.713165161
229	4.710624441
230	4.708808725
231	4.706868019
232	4.702763749
233	4.699706201
234	4.697461435
235	4.690323951
236	4.68628448
237	4.682014218
238	4.681364547
239	4.678293122
240	4.675109716
241	4.673335801
242	4.672287378
243	4.669879513
244	4.668077177
245	4.666243897
246	4.664619875
247	4.663708287
248	4.660625738
249	4.66003401
250	4.658019543
251	4.655352156
252	4.652366231
253	4.650620225
254	4.647563321
255	4.645214735
256	4.642725879
257	4.640878948
258	4.636653307
259	4.635078405
260	4.631977085
261	4.630324418
262	4.627724855
263	4.626699225
264	4.626399588
265	4.619875067
266	4.619457673
267	4.618978542
268	4.61802289
269	4.615746018
270	4.615262835
271	4.613141671
272	4.612641816
273	4.609034716
274	4.608728511
275	4.605346456
276	4.602633061
277	4.598442982
278	4.594906405
279	4.594459867
280	4.592436122
281	4.590373128
282	4.589247732
283	4.583713424
284	4.579676702
285	4.575530283
