iter	Passed	Remaining
0	134	134097
1	135	67834
2	137	45739
3	139	34678
4	140	28018
5	142	23599
6	144	20453
7	146	18144
8	147	16290
9	149	14789
10	150	13558
11	152	12539
12	153	11685
13	155	10954
14	156	10303
15	158	9750
16	160	9262
17	161	8831
18	163	8432
19	164	8050
20	165	7736
21	167	7445
22	168	7164
23	170	6926
24	171	6685
25	172	6466
26	173	6262
27	175	6095
28	177	5936
29	178	5778
30	179	5618
31	180	5467
32	181	5331
33	182	5197
34	183	5070
35	184	4951
36	185	4836
37	187	4734
38	188	4645
39	189	4547
40	190	4454
41	191	4365
42	192	4279
43	193	4195
44	193	4115
45	194	4037
46	195	3962
47	196	3893
48	197	3824
49	197	3760
50	198	3697
51	199	3636
52	200	3580
53	201	3524
54	202	3470
55	203	3424
56	204	3375
57	204	3327
58	205	3279
59	206	3232
60	207	3189
61	207	3144
62	208	3104
63	209	3065
64	210	3026
65	211	2987
66	211	2950
67	212	2913
68	213	2879
69	214	2845
70	214	2812
71	215	2780
72	216	2749
73	217	2720
74	218	2699
75	219	2673
76	220	2648
77	221	2622
78	222	2597
79	223	2573
80	224	2552
81	225	2527
82	226	2498
83	226	2474
84	227	2452
85	228	2429
86	229	2407
87	230	2385
88	231	2367
89	232	2354
90	234	2342
91	236	2331
92	237	2318
93	239	2304
94	240	2290
95	241	2276
96	242	2261
97	243	2243
98	244	2226
99	245	2209
100	246	2195
101	248	2184
102	249	2170
103	250	2157
104	251	2143
105	252	2128
106	253	2112
107	253	2097
108	254	2082
109	255	2067
110	256	2052
111	257	2038
112	257	2024
113	258	2011
114	259	1998
115	260	1985
116	261	1974
117	262	1962
118	263	1949
119	264	1936
120	264	1923
121	265	1912
122	266	1900
123	267	1888
124	268	1878
125	269	1867
126	270	1856
127	270	1844
128	271	1834
129	272	1823
130	273	1812
131	274	1802
132	275	1795
133	276	1787
134	277	1780
135	278	1770
136	279	1761
137	280	1752
138	281	1742
139	282	1733
140	282	1723
141	283	1714
142	284	1705
143	285	1696
144	286	1688
145	287	1681
146	288	1672
147	289	1665
148	290	1657
149	291	1649
150	291	1641
151	292	1632
152	293	1624
153	294	1616
154	295	1608
155	295	1601
156	296	1593
157	297	1586
158	298	1578
159	299	1570
160	299	1563
161	300	1556
162	301	1548
163	302	1542
164	303	1536
165	304	1529
166	305	1522
167	306	1515
168	306	1508
169	307	1502
170	308	1495
171	309	1489
172	310	1482
173	310	1474
174	311	1468
175	312	1462
176	313	1456
177	313	1449
178	314	1443
179	315	1437
180	316	1431
181	318	1430
182	319	1427
183	320	1423
184	322	1419
185	323	1414
186	324	1409
187	324	1403
188	325	1398
189	326	1392
190	327	1387
191	328	1381
192	329	1376
193	330	1371
194	330	1365
195	332	1363
196	334	1361
197	335	1359
198	337	1357
199	338	1355
200	340	1353
201	341	1350
202	342	1346
203	344	1342
204	345	1338
205	346	1334
206	347	1330
207	348	1326
208	349	1322
209	350	1319
210	351	1315
211	352	1310
212	352	1303
213	353	1299
214	354	1295
215	355	1291
216	356	1286
217	357	1282
218	358	1278
219	359	1273
220	360	1269
221	361	1265
222	362	1261
223	363	1257
224	363	1253
225	364	1249
226	365	1245
227	366	1240
228	367	1236
229	368	1232
230	369	1228
231	369	1224
232	370	1220
233	371	1216
234	372	1212
235	373	1208
236	374	1204
237	374	1200
238	376	1197
239	377	1195
240	378	1192
241	379	1189
242	380	1185
243	381	1181
244	382	1177
245	383	1174
246	383	1170
247	384	1166
248	385	1162
249	386	1158
250	387	1155
251	388	1151
252	388	1148
253	389	1145
254	391	1142
255	392	1140
256	393	1136
257	394	1133
258	394	1129
259	395	1126
260	396	1122
261	397	1119
262	398	1115
263	399	1112
264	400	1109
265	400	1106
266	401	1102
267	402	1099
268	403	1096
269	404	1092
270	405	1090
271	406	1087
272	407	1084
273	408	1081
274	408	1078
275	409	1075
276	410	1072
277	411	1069
278	412	1065
279	413	1062
280	414	1059
281	415	1057
282	416	1054
283	416	1051
284	417	1048
285	418	1045
286	420	1044
287	421	1042
288	422	1039
289	423	1037
290	424	1034
291	425	1031
292	426	1028
293	427	1025
294	428	1023
295	429	1020
296	429	1017
297	430	1014
298	431	1011
299	432	1009
300	433	1007
301	434	1004
302	435	1001
303	436	998
304	437	996
305	438	993
306	438	990
307	439	987
308	440	985
309	441	982
310	442	980
311	443	977
312	444	974
313	444	972
314	445	969
315	446	966
316	447	964
317	448	961
318	449	959
319	450	956
320	450	953
321	451	951
322	452	948
323	453	946
324	454	943
325	455	941
326	456	938
327	456	936
328	457	933
329	458	930
330	459	928
331	460	925
332	461	924
333	462	923
334	464	922
335	466	921
336	467	920
337	468	917
338	469	916
339	470	914
340	471	912
341	472	909
342	473	907
343	474	905
344	476	904
345	477	902
346	478	900
347	479	898
348	480	896
349	481	894
350	482	892
351	483	890
352	484	888
353	485	885
354	486	883
355	487	881
356	488	879
357	489	877
358	490	875
359	491	873
360	492	871
361	493	869
362	494	867
363	495	865
364	496	863
365	497	861
366	498	858
367	498	856
368	499	854
369	500	852
370	501	850
371	502	848
372	503	846
373	504	844
374	505	842
375	506	840
376	507	838
377	508	836
378	509	834
379	510	832
380	511	831
381	512	829
382	513	827
383	514	825
384	515	823
385	516	821
386	517	819
387	518	817
388	519	816
389	520	814
390	522	813
391	523	811
392	524	809
393	525	807
394	526	806
395	527	804
396	528	802
397	528	799
398	529	798
399	531	796
400	532	794
401	533	793
402	534	792
403	535	790
404	537	788
405	538	787
406	539	785
407	540	784
408	541	782
409	543	781
410	544	779
411	545	777
412	546	776
413	547	774
414	548	772
415	549	771
416	551	770
417	552	769
418	553	767
419	554	765
420	555	763
421	556	762
422	557	760
423	558	758
424	559	757
425	560	755
426	561	753
427	562	752
428	564	750
429	565	749
430	565	747
431	567	745
432	567	743
433	568	741
434	569	740
435	570	738
436	571	736
437	572	734
438	573	733
439	574	731
440	575	729
441	577	728
442	579	728
443	581	727
444	582	726
445	583	724
446	584	723
447	585	721
448	587	720
449	588	718
450	589	717
451	590	716
452	592	714
453	593	713
454	594	712
455	595	711
456	597	709
457	598	707
458	598	705
459	600	704
460	601	702
461	602	701
462	603	699
463	604	697
464	605	696
465	606	694
